#TYPE Microsoft.Management.Infrastructure.CimInstance#root/standardcimv2/MSFT_NetProtocolPortFilter
"Protocol","LocalPort","RemotePort","IcmpType","DynamicTarget","DynamicTransport","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","CreationClassName","IsNegated","SystemCreationClassName","SystemName","PSComputerName"
"UDP","3702","Any","Any","Any","Any",,,"","NETDIS-FDPHOST-In-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDPHOST-In-UDP-Active",,"","",
"UDP","138","Any","Any","Any","Any",,,"","NETDIS-NB_Datagram-In-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Datagram-In-UDP-Active",,"","",
"UDP","Any","138","Any","Any","Any",,,"","NETDIS-NB_Datagram-Out-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Datagram-Out-UDP-Active",,"","",
"UDP","3702","Any","Any","Any","Any",,,"","NETDIS-DAS-In-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-DAS-In-UDP-Active",,"","",
"UDP","Any","3702","Any","Any","Any",,,"","NETDIS-FDPHOST-Out-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDPHOST-Out-UDP-Active",,"","",
"UDP","Any","5355","Any","Any","Any",,,"","NETDIS-LLMNR-Out-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-LLMNR-Out-UDP-Active",,"","",
"TCP","5358","Any","Any","Any","Any",,,"","NETDIS-WSDEVNTS-In-TCP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-In-TCP-Active",,"","",
"TCP","Any","5358","Any","Any","Any",,,"","NETDIS-WSDEVNTS-Out-TCP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-Out-TCP-Active",,"","",
"UDP","5355","Any","Any","Any","Any",,,"","NETDIS-LLMNR-In-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-LLMNR-In-UDP-Active",,"","",
"UDP","Any","3702","Any","Any","Any",,,"","NETDIS-FDRESPUB-WSD-Out-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDRESPUB-WSD-Out-UDP-Active",,"","",
"TCP","5357","Any","Any","Any","Any",,,"","NETDIS-WSDEVNT-In-TCP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNT-In-TCP-Active",,"","",
"TCP","2869","Any","Any","Any","Any",,,"","NETDIS-UPnPHost-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnPHost-In-TCP",,"","",
"UDP","3702","Any","Any","Any","Any",,,"","NETDIS-FDRESPUB-WSD-In-UDP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDRESPUB-WSD-In-UDP-Active",,"","",
"UDP","Any","1900","Any","Any","Any",,,"","NETDIS-SSDPSrv-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-SSDPSrv-Out-UDP",,"","",
"TCP","Any","5357","Any","Any","Any",,,"","NETDIS-WSDEVNT-Out-TCP-Active",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNT-Out-TCP-Active",,"","",
"TCP","Any","2869","Any","Any","Any",,,"","NETDIS-UPnPHost-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnPHost-Out-TCP",,"","",
"UDP","1900","Any","Any","Any","Any",,,"","NETDIS-SSDPSrv-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-SSDPSrv-In-UDP",,"","",
"UDP","Any","137","Any","Any","Any",,,"","NETDIS-NB_Name-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Name-Out-UDP",,"","",
"UDP","137","Any","Any","Any","Any",,,"","NETDIS-NB_Name-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Name-In-UDP",,"","",
"TCP","Any","2869","Any","Any","Any",,,"","NETDIS-UPnP-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-UPnP-Out-TCP",,"","",
"UDP","Any","138","Any","Any","Any",,,"","NETDIS-NB_Datagram-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Datagram-Out-UDP",,"","",
"UDP","138","Any","Any","Any","Any",,,"","NETDIS-NB_Datagram-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-NB_Datagram-In-UDP",,"","",
"UDP","Any","3702","Any","Any","Any",,,"","NETDIS-FDPHOST-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDPHOST-Out-UDP",,"","",
"UDP","3702","Any","Any","Any","Any",,,"","NETDIS-FDPHOST-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDPHOST-In-UDP",,"","",
"UDP","Any","5355","Any","Any","Any",,,"","NETDIS-LLMNR-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-LLMNR-Out-UDP",,"","",
"UDP","5355","Any","Any","Any","Any",,,"","NETDIS-LLMNR-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-LLMNR-In-UDP",,"","",
"UDP","3702","Any","Any","Any","Any",,,"","NETDIS-FDRESPUB-WSD-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDRESPUB-WSD-In-UDP",,"","",
"TCP","Any","5358","Any","Any","Any",,,"","NETDIS-WSDEVNTS-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-Out-TCP",,"","",
"UDP","Any","3702","Any","Any","Any",,,"","NETDIS-FDRESPUB-WSD-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-FDRESPUB-WSD-Out-UDP",,"","",
"UDP","3702","Any","Any","Any","Any",,,"","NETDIS-DAS-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-DAS-In-UDP",,"","",
"TCP","5358","Any","Any","Any","Any",,,"","NETDIS-WSDEVNTS-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNTS-In-TCP",,"","",
"TCP","Any","5357","Any","Any","Any",,,"","NETDIS-WSDEVNT-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNT-Out-TCP",,"","",
"TCP","5357","Any","Any","Any","Any",,,"","NETDIS-WSDEVNT-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|NETDIS-WSDEVNT-In-TCP",,"","",
"TCP","Any","Any","Any","WifiDirectDisplay","WifiDirectDisplay",,,"","WirelessDisplay-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WirelessDisplay-Out-TCP",,"","",
"TCP","Any","Any","Any","WifiDirectDisplay","WifiDirectDisplay",,,"","WirelessDisplay-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WirelessDisplay-In-TCP",,"","",
"UDP","Any","Any","Any","WifiDirectDisplay","WifiDirectDisplay",,,"","WirelessDisplay-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WirelessDisplay-Out-UDP",,"","",
"TCP","135","Any","Any","Any","Any",,,"","WMI-RPCSS-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-RPCSS-In-TCP-NoScope",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMI-WINMGMT-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-WINMGMT-Out-TCP-NoScope",,"","",
"TCP","7250","Any","Any","Any","Any",,,"","WirelessDisplay-Infra-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WirelessDisplay-Infra-In-TCP",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMI-WINMGMT-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-WINMGMT-In-TCP-NoScope",,"","",
"TCP","135","Any","Any","Any","Any",,,"","WMI-RPCSS-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-RPCSS-In-TCP",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMI-WINMGMT-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-WINMGMT-Out-TCP",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMI-WINMGMT-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-WINMGMT-In-TCP",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMI-ASYNC-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-ASYNC-In-TCP-NoScope",,"","",
"TCP","139","Any","Any","Any","Any",,,"","FPS-NB_Session-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Session-In-TCP-NoScope",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","WMI-ASYNC-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|WMI-ASYNC-In-TCP",,"","",
"TCP","445","Any","Any","Any","Any",,,"","FPS-SMB-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-SMB-In-TCP-NoScope",,"","",
"TCP","Any","139","Any","Any","Any",,,"","FPS-NB_Session-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Session-Out-TCP-NoScope",,"","",
"UDP","137","Any","Any","Any","Any",,,"","FPS-NB_Name-In-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Name-In-UDP-NoScope",,"","",
"TCP","Any","445","Any","Any","Any",,,"","FPS-SMB-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-SMB-Out-TCP-NoScope",,"","",
"UDP","Any","138","Any","Any","Any",,,"","FPS-NB_Datagram-Out-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Datagram-Out-UDP-NoScope",,"","",
"TCP","RPCEPMap","Any","Any","Any","Any",,,"","FPS-RPCSS-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-RPCSS-In-TCP-NoScope",,"","",
"UDP","Any","137","Any","Any","Any",,,"","FPS-NB_Name-Out-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Name-Out-UDP-NoScope",,"","",
"UDP","138","Any","Any","Any","Any",,,"","FPS-NB_Datagram-In-UDP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Datagram-In-UDP-NoScope",,"","",
"ICMPv4","RPC","Any","8","Any","Any",,,"","FPS-ICMP4-ERQ-Out-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP4-ERQ-Out-NoScope",,"","",
"TCP","RPC","Any","Any","Any","Any",,,"","FPS-SpoolSvc-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-SpoolSvc-In-TCP-NoScope",,"","",
"ICMPv6","RPC","Any","128","Any","Any",,,"","FPS-ICMP6-ERQ-In-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP6-ERQ-In-NoScope",,"","",
"TCP","139","Any","Any","Any","Any",,,"","FPS-NB_Session-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Session-In-TCP",,"","",
"ICMPv4","RPC","Any","8","Any","Any",,,"","FPS-ICMP4-ERQ-In-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP4-ERQ-In-NoScope",,"","",
"ICMPv6","RPC","Any","128","Any","Any",,,"","FPS-ICMP6-ERQ-Out-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP6-ERQ-Out-NoScope",,"","",
"TCP","445","Any","Any","Any","Any",,,"","FPS-SMB-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-SMB-In-TCP",,"","",
"TCP","Any","139","Any","Any","Any",,,"","FPS-NB_Session-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Session-Out-TCP",,"","",
"TCP","Any","445","Any","Any","Any",,,"","FPS-SMB-Out-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-SMB-Out-TCP",,"","",
"UDP","Any","137","Any","Any","Any",,,"","FPS-NB_Name-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Name-Out-UDP",,"","",
"UDP","137","Any","Any","Any","Any",,,"","FPS-NB_Name-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Name-In-UDP",,"","",
"UDP","138","Any","Any","Any","Any",,,"","FPS-NB_Datagram-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Datagram-In-UDP",,"","",
"ICMPv4","RPC","Any","8","Any","Any",,,"","FPS-ICMP4-ERQ-In",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP4-ERQ-In",,"","",
"TCP","RPC","Any","Any","Any","Any",,,"","FPS-SpoolSvc-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-SpoolSvc-In-TCP",,"","",
"TCP","RPCEPMap","Any","Any","Any","Any",,,"","FPS-RPCSS-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-RPCSS-In-TCP",,"","",
"ICMPv6","RPC","Any","128","Any","Any",,,"","FPS-ICMP6-ERQ-In",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP6-ERQ-In",,"","",
"UDP","Any","138","Any","Any","Any",,,"","FPS-NB_Datagram-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-NB_Datagram-Out-UDP",,"","",
"ICMPv4","RPC","Any","8","Any","Any",,,"","FPS-ICMP4-ERQ-Out",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP4-ERQ-Out",,"","",
"UDP","5355","Any","Any","Any","Any",,,"","FPS-LLMNR-In-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-LLMNR-In-UDP",,"","",
"ICMPv6","RPC","Any","128","Any","Any",,,"","FPS-ICMP6-ERQ-Out",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-ICMP6-ERQ-Out",,"","",
"TCP","135","Any","Any","Any","Any",,,"","TPMVSCMGR-RPCSS-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|TPMVSCMGR-RPCSS-In-TCP-NoScope",,"","",
"UDP","Any","5355","Any","Any","Any",,,"","FPS-LLMNR-Out-UDP",,,,,"",,,,,,"MSFT|FW|FirewallRule|FPS-LLMNR-Out-UDP",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","TPMVSCMGR-Server-In-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|TPMVSCMGR-Server-In-TCP-NoScope",,"","",
"TCP","135","Any","Any","Any","Any",,,"","TPMVSCMGR-RPCSS-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|TPMVSCMGR-RPCSS-In-TCP",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","TPMVSCMGR-Server-Out-TCP-NoScope",,,,,"",,,,,,"MSFT|FW|FirewallRule|TPMVSCMGR-Server-Out-TCP-NoScope",,"","",
"TCP","Any","Any","Any","Any","Any",,,"","TPMVSCMGR-Server-In-TCP",,,,,"",,,,,,"MSFT|FW|FirewallRule|TPMVSCMGR-Server-In-TCP",,"","",
"TCP","Any","3587","Any","Any","Any",,,"","Microsoft-Windows-HomeGroup-ProvSvc-TCP3587-Out",,,,,"",,,,,,"MSFT|FW|FirewallRule|Microsoft-Windows-HomeGroup-ProvSvc-TCP3587-Out",,"","",
"TCP","3587","Any","Any","Any","Any",,,"","Microsoft-Windows-HomeGroup-ProvSvc-TCP3587-In",,,,,"",,,,,,"MSFT|FW|FirewallRule|Microsoft-Windows-HomeGroup-ProvSvc-TCP3587-In",,"","",
